2.00000	7.950741e+01
2.06410	8.336473e+01
2.12821	8.735513e+01
2.19231	9.143058e+01
2.25641	9.563356e+01
2.32051	9.992137e+01
2.38462	1.042933e+02
2.44872	1.087306e+02
2.51282	1.132084e+02
2.57692	1.176981e+02
2.64103	1.221867e+02
2.70513	1.266254e+02
2.76923	1.310484e+02
2.83333	1.351859e+02
2.89744	1.390708e+02
2.96154	1.427963e+02
3.02564	1.460415e+02
3.08974	1.489856e+02
3.15385	1.513805e+02
3.21795	1.532581e+02
3.28205	1.543470e+02
3.34615	1.546693e+02
3.41026	1.541649e+02
3.47436	1.526810e+02
3.53846	1.501320e+02
3.60256	1.464480e+02
3.66667	1.416208e+02
3.73077	1.355860e+02
3.79487	1.283771e+02
3.85897	1.200202e+02
3.92308	1.105920e+02
3.98718	1.002575e+02
4.05128	8.921005e+01
4.11538	7.775059e+01
4.17949	6.605763e+01
4.24359	5.449382e+01
4.30769	4.351947e+01
4.37179	3.338540e+01
4.43590	2.441552e+01
4.50000	0.000000e+00
