Pt,+,-,dsig,+,-,,xhigh,xlow,,(Stat.) +,(Stat.) -,(Syst.) +,(Syst.) -,(Lumi.) +,(Lumi.) -
1.1,-1.1,1.1,2.25,0.0372827037646145,0.0372827037646145,,0,2.2,,0.03,-0.03,0.04,-0.04,0.04,-0.04
2.8,-0.6,0.6,4.44,0.0948683298050514,0.0948683298050514,,2.2,3.4,,0.05,-0.05,0.09,-0.09,0.09,-0.09
4,-0.6,0.6,4.37,0.0707106781186548,0.0707106781186548,,3.4,4.6,,0.05,-0.05,0.09,-0.09,0.09,-0.09
5.2,-0.600000000000001,0.6,4.25,0.0707106781186548,0.0707106781186548,,4.6,5.8,,0.05,-0.05,0.06,-0.06,0.08,-0.08
6.5,-0.7,0.7,3.6,0.06557438524302,0.06557438524302,,5.8,7.2,,0.04,-0.04,0.06,-0.06,0.07,-0.07
7.95,-0.75,0.749999999999999,3.29,0.058309518948453,0.058309518948453,,7.2,8.7,,0.03,-0.03,0.05,-0.05,0.07,-0.07
9.6,-0.9,0.9,2.78,0.0524690384893796,0.0524690384893796,,8.7,10.5,,0.03,-0.03,0.06,-0.06,0.06,-0.06
11.65,-1.15,1.15,2.37,0.0442831796509691,0.0442831796509691,,10.5,12.8,,0.02,-0.02,0.03,-0.03,0.05,-0.05
14.1,-1.3,1.3,1.849,0.0344673758792282,0.0344673758792282,,12.8,15.4,,0.019,-0.019,0.026,-0.026,0.037,-0.037
17.2,-1.8,1.8,1.407,0.027459060435492,0.027459060435492,,15.4,19,,0.014,-0.014,0.025,-0.025,0.028,-0.028
21.75,-2.75,2.75,0.952,0.0200249843945008,0.0200249843945008,,19,24.5,,0.009,-0.009,0.011,-0.011,0.019,-0.019
29.25,-4.75,4.75,0.576,0.0122474487139159,0.0122474487139159,,24.5,34,,0.006,-0.006,0.008,-0.008,0.012,-0.012
48.5,-14.5,14.5,0.188,0.00616441400296898,0.00616441400296898,,34,63,,0.002,-0.002,0.003,-0.003,0.004,-0.004
166.5,-103.5,103.5,0.00594,0.000412310562561766,0.000412310562561766,,63,270,,0.00012,-0.00012,0.00021,-0.00021,0.00012,-0.00012
