Pt,+,-,dsig,+,-,,xhigh,xlow,,(Stat.) +,(Stat.) -,(Syst.) +,(Syst.) -,(Lumi.) +,(Lumi.) -
1.1,-1.1,1.1,1.237,0.0372827037646145,0.0372827037646145,,2.2,0,,0.018,-0.018,0.021,-0.021,0.025,-0.025
2.8,-0.6,0.6,2.43,0.0948683298050514,0.0948683298050514,,3.4,2.2,,0.04,-0.04,0.07,-0.07,0.05,-0.05
4,-0.6,0.6,2.68,0.0707106781186548,0.0707106781186548,,4.6,3.4,,0.03,-0.03,0.04,-0.04,0.05,-0.05
5.2,-0.600000000000001,0.6,2.49,0.0707106781186548,0.0707106781186548,,5.8,4.6,,0.03,-0.03,0.04,-0.04,0.05,-0.05
6.5,-0.7,0.7,2.32,0.06557438524302,0.06557438524302,,7.2,5.8,,0.03,-0.03,0.03,-0.03,0.05,-0.05
7.95,-0.75,0.749999999999999,2.11,0.058309518948453,0.058309518948453,,8.7,7.2,,0.03,-0.03,0.03,-0.03,0.04,-0.04
9.6,-0.9,0.9,1.849,0.0524690384893796,0.0524690384893796,,10.5,8.7,,0.022,-0.022,0.03,-0.03,0.037,-0.037
11.65,-1.15,1.15,1.542,0.0442831796509691,0.0442831796509691,,12.8,10.5,,0.018,-0.018,0.026,-0.026,0.031,-0.031
14.1,-1.3,1.3,1.321,0.0344673758792282,0.0344673758792282,,15.4,12.8,,0.016,-0.016,0.016,-0.016,0.026,-0.026
17.2,-1.8,1.8,1.03,0.027459060435492,0.027459060435492,,19,15.4,,0.012,-0.012,0.013,-0.013,0.021,-0.021
21.75,-2.75,2.75,0.782,0.0200249843945008,0.0200249843945008,,24.5,19,,0.008,-0.008,0.009,-0.009,0.016,-0.016
29.25,-4.75,4.75,0.517,0.0122474487139159,0.0122474487139159,,34,24.5,,0.005,-0.005,0.005,-0.005,0.01,-0.01
48.5,-14.5,14.5,0.228,0.00616441400296898,0.00616441400296898,,63,34,,0.002,-0.002,0.003,-0.003,0.005,-0.005
166.5,-103.5,103.5,0.0167,0.000412310562561766,0.000412310562561766,,270,63,,0.0002,-0.0002,0.0002,-0.0002,0.0003,-0.0003
