pt pt+ pt- ds ds+ ds-
1.1 -1.1 1.1 4.16 0.10770329614269007 0.10770329614269007
2.8 -0.6000000000000001 0.5999999999999996 8.06 0.1979898987322333 0.1979898987322333
4.0 -0.5999999999999996 0.6000000000000001 8.25 0.2222611077089287 0.2222611077089287
5.199999999999999 -0.6000000000000005 0.5999999999999996 8.17 0.1979898987322333 0.1979898987322333
6.5 -0.7000000000000002 0.7000000000000002 7.25 0.16431676725154984 0.16431676725154984
7.949999999999999 -0.75 0.7499999999999991 6.26 0.17146428199482247 0.17146428199482247
9.6 -0.9000000000000004 0.9000000000000004 5.56 0.13152946437965904 0.13152946437965904
11.65 -1.1500000000000004 1.1500000000000004 4.51 0.10295630140987 0.10295630140987
14.1 -1.3000000000000007 1.299999999999999 3.63 0.0818535277187245 0.0818535277187245
17.2 -1.8000000000000007 1.799999999999999 2.81 0.066332495807108 0.066332495807108
21.75 -2.75 2.75 1.966 0.052716221412388804 0.052716221412388804
29.25 -4.75 4.75 1.175 0.027202941017470887 0.027202941017470887
48.5 -14.5 14.5 0.429 0.010723805294763607 0.010723805294763607
