pt pt+ pt- ds ds+ ds-
1.1 -1.1 1.1 1.237 0.0372827037646145 0.0372827037646145
2.8 -0.6000000000000001 0.5999999999999996 2.43 0.09486832980505139 0.09486832980505139
4.0 -0.5999999999999996 0.6000000000000001 2.68 0.07071067811865477 0.07071067811865477
5.199999999999999 -0.6000000000000005 0.5999999999999996 2.49 0.07071067811865477 0.07071067811865477
6.5 -0.7000000000000002 0.7000000000000002 2.32 0.06557438524302 0.06557438524302
7.949999999999999 -0.75 0.7499999999999991 2.11 0.05830951894845301 0.05830951894845301
9.6 -0.9000000000000004 0.9000000000000004 1.849 0.052469038489379616 0.052469038489379616
11.65 -1.1500000000000004 1.1500000000000004 1.542 0.044283179650969055 0.044283179650969055
14.1 -1.3000000000000007 1.299999999999999 1.321 0.03446737587922817 0.03446737587922817
17.2 -1.8000000000000007 1.799999999999999 1.03 0.027459060435491962 0.027459060435491962
21.75 -2.75 2.75 0.782 0.020024984394500785 0.020024984394500785
29.25 -4.75 4.75 0.517 0.012247448713915891 0.012247448713915891
48.5 -14.5 14.5 0.228 0.006164414002968977 0.006164414002968977
