pt pt+ pt- ds ds+ ds-
1.1 -1.1 1.1 3.37 0.091104335791443 0.091104335791443
2.8 -0.6000000000000001 0.5999999999999996 6.53 0.16401219466856726 0.16401219466856726
4.0 -0.5999999999999996 0.6000000000000001 6.88 0.17378147196982768 0.17378147196982768
5.199999999999999 -0.6000000000000005 0.5999999999999996 6.8 0.18788294228055935 0.18788294228055935
6.5 -0.7000000000000002 0.7000000000000002 6.09 0.147648230602334 0.147648230602334
7.949999999999999 -0.75 0.7499999999999991 5.57 0.13152946437965904 0.13152946437965904
9.6 -0.9000000000000004 0.9000000000000004 4.89 0.12328828005937953 0.12328828005937953
11.65 -1.1500000000000004 1.1500000000000004 4.04 0.09433981132056604 0.09433981132056604
14.1 -1.3000000000000007 1.299999999999999 3.26 0.07874007874011811 0.07874007874011811
17.2 -1.8000000000000007 1.799999999999999 2.6 0.061644140029689765 0.061644140029689765
21.75 -2.75 2.75 1.911 0.04361192497471305 0.04361192497471305
29.25 -4.75 4.75 1.202 0.027202941017470887 0.027202941017470887
48.5 -14.5 14.5 0.481 0.011180339887498949 0.011180339887498949
