pt pt+ pt- ds ds+ ds-
1.1 -1.1 1.1 0.377 0.027147743920996455 0.027147743920996455
2.8 -0.6000000000000001 0.5999999999999996 0.702 0.03566510900025401 0.03566510900025401
4.0 -0.5999999999999996 0.6000000000000001 0.76 0.034655446902326914 0.034655446902326914
5.199999999999999 -0.6000000000000005 0.5999999999999996 0.762 0.03652396473549935 0.03652396473549935
6.5 -0.7000000000000002 0.7000000000000002 0.61 0.028861739379323625 0.028861739379323625
7.949999999999999 -0.75 0.7499999999999991 0.509 0.031638584039112745 0.031638584039112745
9.6 -0.9000000000000004 0.9000000000000004 0.432 0.023086792761230393 0.023086792761230393
11.65 -1.1500000000000004 1.1500000000000004 0.392 0.02545584412271571 0.02545584412271571
14.1 -1.3000000000000007 1.299999999999999 0.26 0.012449899597988732 0.012449899597988732
17.2 -1.8000000000000007 1.799999999999999 0.213 0.011532562594670797 0.011532562594670797
21.75 -2.75 2.75 0.141 0.008602325267042627 0.008602325267042627
29.25 -4.75 4.75 0.0768 0.00298496231131986 0.00298496231131986
48.5 -14.5 14.5 0.0211 0.0011532562594670794 0.0011532562594670794
